task,model,horizon,n,skill_mean,skill_std,change_skill_mean,change_skill_std,proprio_skill_mean,proprio_skill_std,param_count_mean,train_step_time_ms_mean,mamba_backend,seeds
PointMaze,mgvt_mamba,5,1,0.4446116664989852,0.0,0.6246595105463602,0.0,0.8606442154488758,0.0,362136,111.66998209899967,mamba_ssm,234
PointMaze,mgvt_mamba,6,1,0.41915659509808,0.0,0.6006588632279443,0.0,0.8258443802694827,0.0,362136,111.66998209899967,mamba_ssm,234
PushT,AdaLN,1,1,0.3477984648119281,0.0,0.5807754489488955,0.0,0.9959404013863247,0.0,343480,262.5797893799996,,234
PushT,AdaLN,2,1,0.48424970589303873,0.0,0.6660265713040108,0.0,0.9968671567143612,0.0,343480,262.5797893799996,,234
PushT,AdaLN,3,1,0.5280868464487192,0.0,0.6894894562329009,0.0,0.9966321444677274,0.0,343480,262.5797893799996,,234
PushT,AdaLN,4,1,0.5504114895436283,0.0,0.7027297899743621,0.0,0.9963123822230946,0.0,343480,262.5797893799996,,234
PushT,AdaLN,5,1,0.5628962095296408,0.0,0.7120282706989787,0.0,0.9958498376821855,0.0,343480,262.5797893799996,,234
PushT,AdaLN,6,1,0.5734397114801013,0.0,0.7196164897580526,0.0,0.9952798074222579,0.0,343480,262.5797893799996,,234
PushT,mgvt_convmixer,1,1,0.30435895423848625,0.0,0.5358949748278123,0.0,0.9866189054369102,0.0,336279,93.89740412400002,,234
PushT,mgvt_convmixer,2,1,0.45813079440776117,0.0,0.630842475978976,0.0,0.9911000080801602,0.0,336279,93.89740412400002,,234
PushT,mgvt_convmixer,3,1,0.5032913299664807,0.0,0.6581419093808827,0.0,0.9912264855203438,0.0,336279,93.89740412400002,,234
PushT,mgvt_convmixer,4,1,0.5286416184897393,0.0,0.6716794762379781,0.0,0.9900494753715519,0.0,336279,93.89740412400002,,234
PushT,mgvt_convmixer,5,1,0.5410456880316934,0.0,0.6793972676707708,0.0,0.9881169323429372,0.0,336279,93.89740412400002,,234
PushT,mgvt_convmixer,6,1,0.5529481369740684,0.0,0.6860713420066309,0.0,0.9855540226375352,0.0,336279,93.89740412400002,,234
PushT,mgvt_mamba,1,1,0.3213162758956214,0.0,0.5724190246469155,0.0,0.9959663183031041,0.0,362136,111.59058946099985,mamba_ssm,234
PushT,mgvt_mamba,2,1,0.4785638965287352,0.0,0.6633666457927827,0.0,0.9968469858325806,0.0,362136,111.59058946099985,mamba_ssm,234
PushT,mgvt_mamba,3,1,0.5207826203068653,0.0,0.6846876635111784,0.0,0.9965655529015324,0.0,362136,111.59058946099985,mamba_ssm,234
PushT,mgvt_mamba,4,1,0.5448099434109788,0.0,0.6964935766028367,0.0,0.9961053398256613,0.0,362136,111.59058946099985,mamba_ssm,234
PushT,mgvt_mamba,5,1,0.557193135407712,0.0,0.7045540102195473,0.0,0.9956545983767555,0.0,362136,111.59058946099985,mamba_ssm,234
PushT,mgvt_mamba,6,1,0.570408938932841,0.0,0.7127511138380646,0.0,0.9952906836784573,0.0,362136,111.59058946099985,mamba_ssm,234
Wall,AdaLN,1,1,0.6838771251069738,0.0,0.7971032496544036,0.0,0.924717947038926,0.0,343448,305.322013583999,,234
Wall,AdaLN,2,1,0.7863049955677297,0.0,0.8644084845915995,0.0,0.9480451044058772,0.0,343448,305.322013583999,,234
Wall,AdaLN,3,1,0.8073598648804607,0.0,0.8773315305715379,0.0,0.9533174596395658,0.0,343448,305.322013583999,,234
Wall,AdaLN,4,1,0.811914562331807,0.0,0.8804494275284345,0.0,0.9539188302276281,0.0,343448,305.322013583999,,234
Wall,AdaLN,5,1,0.8147135286164723,0.0,0.8822458618194993,0.0,0.9512838137525949,0.0,343448,305.322013583999,,234
Wall,AdaLN,6,1,0.814760770514767,0.0,0.8816428046226149,0.0,0.945582429241338,0.0,343448,305.322013583999,,234
Wall,mgvt_convmixer,1,1,0.6285411835712712,0.0,0.7629354494356698,0.0,0.9092572370222591,0.0,336247,96.61586667099981,,234
Wall,mgvt_convmixer,2,1,0.7409630734066546,0.0,0.8393279454031503,0.0,0.9360930613845372,0.0,336247,96.61586667099981,,234
