run_id,task,model,seed,horizon,skill,change_skill,proprio_skill,mse_model,mse_persist,proprio_mse_model,proprio_mse_persist,param_count,train_step_time_ms,mamba_backend,deterministic_encode_max_abs_diff
maze_stage2_pred_mgvt_convmixer_lance_h4_seed234,PointMaze,mgvt_convmixer,234,5,0.38370382744464826,0.5862695494435538,0.8509060071944143,0.012983018085360527,0.02106619944032587,0.14450467443673826,0.9692186232155464,336279,94.16746330799967,,0.0
maze_stage2_pred_mgvt_convmixer_lance_h4_seed234,PointMaze,mgvt_convmixer,234,6,0.35808587669325365,0.5702263966384356,0.8193304011522674,0.013741629977450997,0.021407271593686987,0.17090198631719,0.9459366014379947,336279,94.16746330799967,,0.0
maze_stage2_pred_mgvt_mamba_lance_h4_seed234,PointMaze,mgvt_mamba,234,1,0.3918596003027217,0.6422490238472119,0.9109709557953968,0.008175103835089773,0.013442790249026702,0.024826074882608944,0.27885366067229234,362136,111.66998209899967,mamba_ssm,0.0
maze_stage2_pred_mgvt_mamba_lance_h4_seed234,PointMaze,mgvt_mamba,234,2,0.5065572723699238,0.6965504944242293,0.9165758005765362,0.00901362492794507,0.018266810762894447,0.041563119874717516,0.49821418919157784,362136,111.66998209899967,mamba_ssm,0.0
maze_stage2_pred_mgvt_mamba_lance_h4_seed234,PointMaze,mgvt_mamba,234,3,0.5014533008832969,0.6812071034595641,0.9067963389013729,0.01003258039762617,0.02012365223839879,0.060709616644766,0.6513651494926117,362136,111.66998209899967,mamba_ssm,0.0
maze_stage2_pred_mgvt_mamba_lance_h4_seed234,PointMaze,mgvt_mamba,234,4,0.47596143507504585,0.6537743983933411,0.888410603269792,0.010865550155705605,0.020734256756965254,0.08214196125320235,0.7361090180619818,362136,111.66998209899967,mamba_ssm,0.0
maze_stage2_pred_mgvt_mamba_lance_h4_seed234,PointMaze,mgvt_mamba,234,5,0.4446116664989852,0.6246595105463602,0.8606442154488758,0.011699921400362596,0.02106619944032587,0.10658585806881063,0.7648470310158417,362136,111.66998209899967,mamba_ssm,0.0
maze_stage2_pred_mgvt_mamba_lance_h4_seed234,PointMaze,mgvt_mamba,234,6,0.41915659509808,0.6006588632279443,0.8258443802694827,0.012434272522137302,0.021407271593686987,0.132205131050413,0.7591206718162924,362136,111.66998209899967,mamba_ssm,0.0
mw_r_stage2_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach,AdaLN,1,1,0.33982674278955904,0.6102597938999834,0.9420172490970581,0.04799407199025154,0.07269920655836662,0.0005410690448156351,0.009331551821701901,344680,297.4616040360002,,0.0
mw_r_stage2_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach,AdaLN,1,2,0.5621324380764166,0.745484955419653,0.9508339812538708,0.05254134929842419,0.11999370098941856,0.001227172962971963,0.024959779015431803,344680,297.4616040360002,,0.0
