run_id,task,model,seed,horizon,skill,change_skill,moved_region_change_skill,proprio_skill,param_count,flops_per_forward_estimate,train_step_time_ms,mamba_backend,deterministic_encode_max_abs_diff
maze_stage2c_pred_adaln_depth1_lance_h4_seed236,PointMaze,AdaLN,236,3,0.36214836860577915,0.5789018890883868,0.4777432357236844,0.9307768259474227,343480,,268.2588074840003,,0.0
maze_stage2c_pred_adaln_depth1_lance_h4_seed236,PointMaze,AdaLN,236,4,0.3163348239182969,0.5601847715767606,0.4490091441852698,0.9133786798595478,343480,,268.2588074840003,,0.0
maze_stage2c_pred_adaln_depth1_lance_h4_seed236,PointMaze,AdaLN,236,5,0.2604239406471195,0.5377357585872118,0.41336952425602913,0.8933395183775534,343480,,268.2588074840003,,0.0
maze_stage2c_pred_adaln_depth1_lance_h4_seed236,PointMaze,AdaLN,236,6,0.1972654454804239,0.5147051522986001,0.3741019981028285,0.8641595350324007,343480,,268.2588074840003,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach,AdaLN,1,1,0.34132153118105235,0.6138942632762454,0.4498469395219894,0.9414982788489676,344680,,284.1029073880007,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach,AdaLN,1,2,0.5651845010384446,0.7514583279260841,0.6404370766556274,0.9506262168787613,344680,,284.1029073880007,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach,AdaLN,1,3,0.6431062909017897,0.7965646262177045,0.7050375128238038,0.9454210946051848,344680,,284.1029073880007,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach,AdaLN,1,4,0.6765809276396485,0.8150864490565325,0.7322339901087456,0.9379969039771648,344680,,284.1029073880007,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach,AdaLN,1,5,0.6918197196064755,0.8233216504040163,0.7439671454285182,0.9288533246009592,344680,,284.1029073880007,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach,AdaLN,1,6,0.6972697341317402,0.8252213397796253,0.7479616864438006,0.9164641224290364,344680,,284.1029073880007,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed2,METAWORLD_HF:mw-reach,AdaLN,2,1,0.32630041835130474,0.6100189895511403,0.43980727777048856,0.9464892411881481,344680,,297.0607845220001,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed2,METAWORLD_HF:mw-reach,AdaLN,2,2,0.5565345789832391,0.7541076959547037,0.6339409147570112,0.9564022680158609,344680,,297.0607845220001,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed2,METAWORLD_HF:mw-reach,AdaLN,2,3,0.633860510007819,0.7984985924430615,0.6968030230286307,0.957389423169614,344680,,297.0607845220001,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed2,METAWORLD_HF:mw-reach,AdaLN,2,4,0.6671618833160124,0.8164665343182289,0.723239126052529,0.9579232938399371,344680,,297.0607845220001,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed2,METAWORLD_HF:mw-reach,AdaLN,2,5,0.6806646964162865,0.8213597036537834,0.7331741447008363,0.9580738411463001,344680,,297.0607845220001,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed2,METAWORLD_HF:mw-reach,AdaLN,2,6,0.6831224375729791,0.8197479209896017,0.7333576668931377,0.957425776942344,344680,,297.0607845220001,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed3,METAWORLD_HF:mw-reach,AdaLN,3,1,0.29190022361288026,0.5909724850407068,0.40944629405471167,0.9505126829921088,344680,,297.49745578000017,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed3,METAWORLD_HF:mw-reach,AdaLN,3,2,0.5218422950251564,0.7324687441219528,0.6038543765938856,0.9554648223717843,344680,,297.49745578000017,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed3,METAWORLD_HF:mw-reach,AdaLN,3,3,0.6009008342725309,0.7767204197070282,0.6683574094698834,0.9540908160630227,344680,,297.49745578000017,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed3,METAWORLD_HF:mw-reach,AdaLN,3,4,0.6343434566340447,0.7927514964898411,0.6943237874287573,0.9532734837241321,344680,,297.49745578000017,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed3,METAWORLD_HF:mw-reach,AdaLN,3,5,0.6442090483851377,0.7966880027770382,0.7003063917597767,0.9520921090253511,344680,,297.49745578000017,,0.0
mw_r_stage2c_pred_adaln_depth1_lance_h4_seed3,METAWORLD_HF:mw-reach,AdaLN,3,6,0.6427357121255896,0.7936983727456897,0.696535225411103,0.948009926918496,344680,,297.49745578000017,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,AdaLN,1,1,0.35713427941495035,0.6360054586921433,0.46936058597139907,0.9528827530245837,344680,,297.6739666649991,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,AdaLN,1,2,0.586191832841917,0.7736970914650687,0.6617775100967493,0.9555842859762231,344680,,297.6739666649991,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,AdaLN,1,3,0.665294063775604,0.8207229966698253,0.7268369153995937,0.9529401891307773,344680,,297.6739666649991,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,AdaLN,1,4,0.7016545522324625,0.842143223968996,0.7567476998308099,0.952746539102746,344680,,297.6739666649991,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,AdaLN,1,5,0.7193032854020955,0.8494337942658468,0.7702635482197082,0.953206360533638,344680,,297.6739666649991,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed1,METAWORLD_HF:mw-reach-wall,AdaLN,1,6,0.7264377924663785,0.8518748445021185,0.7754008749974171,0.9533634235319836,344680,,297.6739666649991,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed2,METAWORLD_HF:mw-reach-wall,AdaLN,2,1,0.32343285808371725,0.6112667363003068,0.4397631985546834,0.9575067252808127,344680,,296.4365957969993,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed2,METAWORLD_HF:mw-reach-wall,AdaLN,2,2,0.566880530373963,0.7627195846221139,0.6462127637822275,0.9629893042810297,344680,,296.4365957969993,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed2,METAWORLD_HF:mw-reach-wall,AdaLN,2,3,0.6525815597540553,0.8147848009552443,0.7171210428248527,0.9562540082128922,344680,,296.4365957969993,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed2,METAWORLD_HF:mw-reach-wall,AdaLN,2,4,0.6901514768130459,0.8380802200923254,0.7484914632486329,0.949065194906733,344680,,296.4365957969993,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed2,METAWORLD_HF:mw-reach-wall,AdaLN,2,5,0.7093640612104815,0.8485256536012301,0.7633491854168857,0.947306758351486,344680,,296.4365957969993,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed2,METAWORLD_HF:mw-reach-wall,AdaLN,2,6,0.7207879959835901,0.8545313588551061,0.7728514490123031,0.9481616374928569,344680,,296.4365957969993,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed3,METAWORLD_HF:mw-reach-wall,AdaLN,3,1,0.3242086464216589,0.610984991304995,0.439401207293711,0.9490025831926276,344680,,298.0761390950015,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed3,METAWORLD_HF:mw-reach-wall,AdaLN,3,2,0.561463123376577,0.7565844074189058,0.6389385047285494,0.9525422359948649,344680,,298.0761390950015,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed3,METAWORLD_HF:mw-reach-wall,AdaLN,3,3,0.6458205438349203,0.8052861916282811,0.707980274118555,0.940358869232529,344680,,298.0761390950015,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed3,METAWORLD_HF:mw-reach-wall,AdaLN,3,4,0.6855293576613204,0.82789562453729,0.7404646938861197,0.9207843858356605,344680,,298.0761390950015,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed3,METAWORLD_HF:mw-reach-wall,AdaLN,3,5,0.7060842238824381,0.8395975822771622,0.7566862873764414,0.901716547308457,344680,,298.0761390950015,,0.0
mw_rw_stage2c_pred_adaln_depth1_lance_h4_seed3,METAWORLD_HF:mw-reach-wall,AdaLN,3,6,0.7166978065834797,0.8461536026840764,0.7649455592634624,0.8912515992924164,344680,,298.0761390950015,,0.0
pusht_stage2c_pred_adaln_depth1_lance_h4_seed234,PushT,AdaLN,234,1,0.34562832957609535,0.5790299682903312,0.4474060161236757,0.9956656992181949,343480,,265.05853390700014,,0.0
pusht_stage2c_pred_adaln_depth1_lance_h4_seed234,PushT,AdaLN,234,2,0.4812308619685537,0.6638957054984227,0.5594373653438695,0.9964662268236112,343480,,265.05853390700014,,0.0
pusht_stage2c_pred_adaln_depth1_lance_h4_seed234,PushT,AdaLN,234,3,0.5240578415444551,0.6871124764294569,0.5907872267442764,0.9961755513256902,343480,,265.05853390700014,,0.0
pusht_stage2c_pred_adaln_depth1_lance_h4_seed234,PushT,AdaLN,234,4,0.545442301698673,0.7001595934929975,0.6067944209106046,0.9958758245732984,343480,,265.05853390700014,,0.0
pusht_stage2c_pred_adaln_depth1_lance_h4_seed234,PushT,AdaLN,234,5,0.5570385606860393,0.7094606530223866,0.6175839547486839,0.9954849282202798,343480,,265.05853390700014,,0.0
pusht_stage2c_pred_adaln_depth1_lance_h4_seed234,PushT,AdaLN,234,6,0.5673327305833016,0.7175677439015755,0.6276546278882372,0.9950265638755503,343480,,265.05853390700014,,0.0
pusht_stage2c_pred_adaln_depth1_lance_h4_seed235,PushT,AdaLN,235,1,0.3554232126865976,0.5869696053907915,0.45596930108404043,0.9962807499264947,343480,,273.2290047609999,,0.0
pusht_stage2c_pred_adaln_depth1_lance_h4_seed235,PushT,AdaLN,235,2,0.49716025699014355,0.6756643418755502,0.5730158566910561,0.9969582966977368,343480,,273.2290047609999,,0.0
pusht_stage2c_pred_adaln_depth1_lance_h4_seed235,PushT,AdaLN,235,3,0.5477936862222694,0.7033554861597047,0.611046821951303,0.9967687007732917,343480,,273.2290047609999,,0.0
pusht_stage2c_pred_adaln_depth1_lance_h4_seed235,PushT,AdaLN,235,4,0.5757849901353875,0.7192148897865873,0.6324125890949239,0.9964475271005981,343480,,273.2290047609999,,0.0
