task,model,horizon,n,skill_mean,skill_std,change_skill_mean,change_skill_std,proprio_skill_mean,proprio_skill_std,param_count_mean,train_step_time_ms_mean,mamba_backend,seeds
PushT,AdaLN,4,1,0.545758924310162,0.0,0.6981741358720497,0.0,0.9942879273114458,0.0,343480,264.8130691819999,,234
PushT,AdaLN,5,1,0.5573792555767689,0.0,0.7061716797599686,0.0,0.9939404457886774,0.0,343480,264.8130691819999,,234
PushT,AdaLN,6,1,0.5677956854215984,0.0,0.7128932240503316,0.0,0.9936110959239046,0.0,343480,264.8130691819999,,234
PushT,mgvt_convmixer,1,1,0.30582798127444444,0.0,0.5378925602749,0.0,0.9864159373674564,0.0,336279,95.22765580000011,,234
PushT,mgvt_convmixer,2,1,0.4596157013162532,0.0,0.6331034980625294,0.0,0.9912602472241973,0.0,336279,95.22765580000011,,234
PushT,mgvt_convmixer,3,1,0.5047544327160554,0.0,0.6606974136562664,0.0,0.9909606592027707,0.0,336279,95.22765580000011,,234
PushT,mgvt_convmixer,4,1,0.5302431928394216,0.0,0.6747757094977513,0.0,0.9895266932063089,0.0,336279,95.22765580000011,,234
PushT,mgvt_convmixer,5,1,0.5436068701891328,0.0,0.6836139178466327,0.0,0.9871789719775904,0.0,336279,95.22765580000011,,234
PushT,mgvt_convmixer,6,1,0.5570243986977961,0.0,0.6921626879254821,0.0,0.9840323926914765,0.0,336279,95.22765580000011,,234
PushT,mgvt_mamba,1,1,0.32787655487628364,0.0,0.5817332415889833,0.0,0.9968502186762643,0.0,362136,110.73869668600068,mamba_ssm,234
PushT,mgvt_mamba,2,1,0.48329461642141913,0.0,0.6692897455302045,0.0,0.9975148458184511,0.0,362136,110.73869668600068,mamba_ssm,234
PushT,mgvt_mamba,3,1,0.5260139234691219,0.0,0.6900926760210463,0.0,0.9972548301673463,0.0,362136,110.73869668600068,mamba_ssm,234
PushT,mgvt_mamba,4,1,0.5508506188585875,0.0,0.7022435130171266,0.0,0.9968588233814569,0.0,362136,110.73869668600068,mamba_ssm,234
PushT,mgvt_mamba,5,1,0.5649386349493422,0.0,0.7111462804362774,0.0,0.9964840694454631,0.0,362136,110.73869668600068,mamba_ssm,234
PushT,mgvt_mamba,6,1,0.5790885198523514,0.0,0.7200588120830844,0.0,0.996166688560144,0.0,362136,110.73869668600068,mamba_ssm,234
